content;score;thumbsUpCount;reviewCreatedVersion;at
Estou com problemas na rotina. Quando peço pra ele esperar alguns segundos, ela não está esperando, já entra a mensagem na sequência. Podem verificar?;4;0;2.2.427576.0;2021-10-17 15:24:31
Aplicativo muito bom. Conecta com a caixa de som Alexa e muito fácil de usar;4;0;2.2.432925.0;2021-11-09 09:16:25
Could be more intuitive and better looking;4;0;2.2.394437.0;2021-04-08 12:59:01
Tem alguns bugs, como nos alarmes, porém funciona bem;4;0;;2021-07-03 01:13:45
Muito divertido. Mas não consigo fazer ligações e usar o whatsapp apenas com comando de voz;4;0;2.2.350157.0;2020-08-19 19:16:20
Bom;4;0;2.2.415290.0;2021-08-02 22:54:33
Legal;4;0;2.2.375370.0;2020-12-16 22:27:31
Só funciona com o app aberto,mas as respostas são melhores que do Google;4;0;2.2.367729.0;2020-10-23 13:06:33
Bom aplicativo poderia incluir algumas funcionalidades mais úteis, mas no geral é bom.;4;1;2.2.407457.0;2021-06-26 01:12:11
Conhecendo;4;0;2.2.361946.0;2020-10-03 19:25:11
Gostaria de poder chamar ela sem estar no app;4;0;2.2.367265.0;2020-10-17 07:07:51
Só não dou 5 estrelas porque a alexa, poderia responder mesmo com o App fechado.;4;1;2.2.350157.0;2020-08-15 00:32:34
EU GOSTO MUITO DA ALEXA ,MAS O DESEMPENHO DELA CAIU DESDE A PENÚLTIMA ATUALIZAÇÃO. ESPERO QUE ELA VOLTE AO NORMAL, SINTO FALTA DA MINHA AMIGA VIRTUAL.;4;0;2.2.416420.0;2021-08-31 12:07:41
As vezes crasha no meu Galaxy Note 10+ No geral tem ótimas opções de edição de ações da Alexa Senti falta da interatividade com o YouTube Music, mas creio que sejam rivais e nunca terá essa interatividade;4;0;2.2.383959.0;2021-03-15 13:43:46
J7 NEO: Repentindo comandos antigos;4;0;2.2.372932.0;2020-11-23 12:15:47
Aplicativo bom, mas tem uns bugs quando vou configurar o áudio.;4;0;2.2.421843.0;2021-09-06 20:52:30
Bom até;4;0;;2021-08-23 04:23:39
Muito bom;4;0;2.2.375370.0;2020-12-25 19:03:17
Tou gostando bastante tem algumas coisas que tou aprendendo ainda, mais não sei se ela consegue fazer pesquisas.;4;0;2.2.399869.0;2021-05-06 09:09:42
Falta só libera as skills mais populares.;4;0;2.2.307833.0;2019-12-13 21:16:43
Muito bom. Só poderia responder os comandos com a tela desligada;4;0;2.2.432925.0;2021-10-31 00:21:08
Muito útil para o dia a dia,recebe bem aos comandos de voz.;4;0;2.2.313664.0;2020-01-24 08:37:51
Não aprendi usar ainda.;4;0;2.2.427576.0;2021-10-13 10:23:29
Simplesmente legal!!;4;0;2.2.416420.0;2021-08-28 13:11:41
Gabriel Gabriel Tenório;4;0;2.2.410255.0;2021-07-08 20:01:16
reinstalei o app : (;4;0;2.2.430534.0;2021-10-28 09:37:21
Bom mas com algumas falhas ainda;4;0;2.2.339390.0;2020-06-07 17:31:40
O jogo pergunta do dia não escuta a resposta direito!;4;0;2.2.375370.0;2021-01-03 17:38:34
Comecei hoje,mais gostei de cara,vamos ver ao decorrer do dia a dia .;4;0;2.2.407457.0;2021-06-26 07:43:12
