content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
Interface pouco intuitiva;3;0;2.2.436689.0;2021-12-03 23:38:30;;
Lista de compras básica, sem opções;3;0;2.2.432925.0;2021-11-01 14:00:21;;
Desde a atualização do app não estou conseguindo configurar o echo.;3;1;2.2.432925.0;2021-11-06 01:56:12;;
A versão português do Brasil tem imensos bugs, palavras em inglês, e outros. O maior problema é não ser português de Portugal e assim não serem reconhecidas palavras, termos, nem na temperatura!!! É lenta e acaba-se por não se tirar partido da Alexa como se poderia tirar...;3;3;2.2.423409.0;2021-09-25 11:14:57;;
Não consigo conectar Alexa na minha tv Sony pede para atualizar toda vez que tento fazer isso e não tem atualização disponível;3;0;2.2.426944.0;2021-10-01 00:46:49;;
vou dá 3 estrelas , estou amando a experiência com o app. volto a avalizar quando passar mais tempo curtindo o app.;3;0;2.2.436689.0;2021-11-30 15:27:19;;
Funcionava bem, há alguns dias passou a interromper o spotify com frequência.;3;0;2.2.416420.0;2021-08-07 19:53:32;;
Alexa é maravilhosa, mas o app é lento demais. Dá pra melhorar bastante. 😅;3;0;2.2.421843.0;2021-09-11 02:14:36;;
Funciona. Metade do tempo, a outra metade te mata de raiva.;3;0;2.2.426944.0;2021-10-06 22:50:02;;
Comunicação de echo show 8 e telefone não funciona. Não mostra Câmera do dispositivo no telemóvel;3;0;2.2.416420.0;2021-08-25 10:39:40;;
O aplicativo é muito bom. mas é muito complicado de mexer;3;0;2.2.436689.0;2021-11-29 05:45:01;;
O aplicativo e bom melhorou um pouco o desempenho ! Porém não consigo vincular minha conta sky na skill da sky;3;0;2.2.422256.0;2021-09-11 11:00:01;;
"A Alexa e muito legal. Mas em certas rotinas ela não executa. Ela entende porque eu peço ela pra me falar o que ela ouviu e ela repete certo. Mas a resposta dela e sempre ""não conheço isso"".";3;0;2.2.422256.0;2021-09-18 12:12:41;;
perde muito a conexão do celular com o dispositivo;3;0;2.2.438005.0;2021-12-25 05:01:44;;
as direções para executar ações são um pouco confusas;3;0;2.2.438005.0;2021-12-14 00:57:03;;
Muitos erros de interpretação, fazendo ações não desejadas ou não fazendo as ações. Bastante decepcionante!;3;0;2.2.422256.0;2021-09-22 05:59:08;;
Olha até que responde bem alexa muito melhor q o Google home mais o App é muito lento trava dmais mando a alexia executar música ela faz somente ñ sai áudio tds outros comandos até q é bom mais tem muito q melhor pessoal do suporte tem de ser mais rápido ok.;3;0;2.2.416420.0;2021-08-30 21:20:07;;
Não consigo acessar minha conta, fica dando tempo de conexão alguma coisa;3;0;2.2.432925.0;2021-11-01 15:24:37;;
Bom, mas é lento, principalmente na navegação pela comunicação.;3;0;2.2.416420.0;2021-09-02 01:39:51;;
A app ainda está muito lenta;3;0;2.2.436689.0;2021-12-08 12:19:52;;
É bom. Mais ela não sabe responder algumas coisas... é muito lenta... tem dificuldade de ouvir as vezes... e não chinga tanto;3;0;2.2.422256.0;2021-09-16 00:55:33;;
A App está muti lento, buga quando seleciona alguma música;3;0;2.2.426944.0;2021-10-04 08:10:08;;
App muito útil porém com alguns bugs na aba de reprodução de músicas;3;0;2.2.426944.0;2021-10-06 00:02:24;;
no android o app é muito lento;3;0;2.2.438005.0;2021-12-16 00:35:55;;
muito lento e as vezes não responde corretamente;3;0;2.2.438005.0;2021-12-26 21:00:36;;
Aplicativo muito pesado, trava demais;3;0;2.2.427576.0;2021-10-08 00:24:41;;
diversos skills apresentam limitação.;3;0;2.2.436689.0;2021-11-26 03:58:51;;
Muito lento a resposta de qualquer comando.;3;1;2.2.416420.0;2021-08-30 21:45:42;;
Não sei porque, quando estou ouvindo um livro pelo Alexa ele sempre volta ao capítulo anterior, ler algumas páginas mas retorna ao início, alguém pode me ajudar.;3;0;2.2.413073.0;2021-07-18 17:33:33;;
Falta otimização e compatibilidade com comando de voz como ok google;3;0;2.2.416420.0;2021-08-24 00:07:50;;
ela não encontra coisas que as vezes ela já havia encontrado antes;3;0;2.2.436689.0;2021-12-08 22:48:07;;
Aplicativo pode melhorar muito. Lento e não muito funcional;3;0;2.2.422256.0;2021-09-11 03:08:06;;
Podia encher no celular sem precisar entrar no app da Alexa;3;0;2.2.438005.0;2021-12-06 18:45:51;;
Por enquanto, aprendendo. Pode ser que mude mais tarde!;3;0;2.2.436689.0;2021-11-25 18:14:29;;
Muito bom para gerenciar a Alexa, no entanto, ele é muito lento;3;0;2.2.422256.0;2021-09-17 22:35:43;;
Demorando atualizar para reconhecimento do dispositivo echo auto.;3;0;2.2.416420.0;2021-08-19 22:28:48;;
E muito bom se tiver o dor rcho. No celular deixa a desejar alguns pontos.;3;0;2.2.413073.0;2021-07-31 12:53:38;;
Não consigo mais ouvir os livros pela Alexa, é um recurso muito bom mas não está funcionando.;3;0;2.2.422256.0;2021-09-09 21:31:47;;
O app está muito lento e demorando pra carregar;3;0;2.2.413073.0;2021-07-17 20:38:39;;
só falta mesmo a linguagem portuguesa de Portugal;3;0;2.2.438005.0;2021-12-18 12:55:28;;
Acabei de baixar o aplicativo, aparentemente bom, mas terei uma resposta mais conclusiva após algumas semanas de uso;3;0;2.2.416420.0;2021-08-25 22:50:21;;
Não consigo trocar minha foto de papel de parede pra alexa;3;0;2.2.432925.0;2021-10-28 15:11:38;;
falta o app ser mais fácil de usar;3;0;2.2.435197.0;2021-11-17 20:32:06;;
So acho que devia ter a opção Português de Portugal... 🙄 Eu mesmo a colocar a app em português (brasil) a maior parte das definições estão em inglês;3;25;2.2.422256.0;2021-09-13 19:55:26;;
tem que melhorar o app ta muito pesado no meu celular;3;0;2.2.435306.0;2021-11-17 18:01:25;;
Falta integração com YouTube music;3;0;2.2.438005.0;2021-12-16 10:15:44;;
Muito bom várias coisas, mas seria pedir muito pra um simples lembrete funcionar direito?;3;0;2.2.413073.0;2021-07-27 23:02:34;;
Aplicativo funciona, mas é extremamente pesado e lento.;3;1;2.2.416420.0;2021-08-20 13:10:58;;
Falta a ativação da aleza por comando e voz, com o celular bloqueado;3;0;2.2.416420.0;2021-08-07 19:46:49;;
muito lento no celular;3;0;2.2.438005.0;2021-12-16 15:11:42;;
Ele ainda trava muito no android, porém da pra usar.;3;0;2.2.416420.0;2021-08-14 20:27:01;;
Aprendendo a usar..... Falta muito para inteligência artificial.;3;1;2.2.416420.0;2021-08-29 18:49:03;;
O tempo de resposta do app é bem lento.;3;0;2.2.413073.0;2021-07-28 17:03:27;;
não é tão precisa assim, tem muitas falhas.;3;0;2.2.438005.0;2021-12-13 23:39:43;;
não posso adicionar o Youtube no aplicativo.;3;0;2.2.436689.0;2021-12-06 17:14:22;;
Não consigo configurar música ambiente com vários alexa's;3;0;2.2.415290.0;2021-07-29 20:10:03;;
Gostei, mas configurar mais de um Wi-Fi é bem chatinho;3;0;2.2.427576.0;2021-10-15 17:41:07;;
Quando vão consertar o bug dela voltar a ler o mesmo capitulo do livro do começo ao invés de começar o próximo capítulo?;3;0;2.2.416420.0;2021-08-30 00:54:08;;
"Eu trocaria o Google Assistente pela Alexa ""se ela funcionasse fora do app""!!!!";3;0;2.2.422256.0;2021-09-19 17:43:39;;
